FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0;undefined;undefined;Afghanistan;2020-02-24T23:33:02;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Algeria;2020-02-25T23:43:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Belarus;2020-02-28T16:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Belgium;2020-02-17T04:23:06;undefined;undefined;1;0;1;0;undefined
0;undefined;undefined;Brazil;2020-02-26T23:53:02;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Cambodia;2020-02-12T07:43:02;undefined;undefined;1;0;1;0;undefined
0;undefined;"Montreal, QC";Canada;2020-02-28T05:23:07;undefined;undefined;1;0;0;0;undefined
0;undefined;"London,ON";Canada;2020-02-12T18:53:03;undefined;undefined;1;0;1;0;undefined
0;undefined;undefined;Denmark;2020-02-27T16:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Egypt;2020-02-28T04:13:09;undefined;undefined;1;0;1;0;undefined
0;undefined;undefined;Estonia;2020-02-27T16:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Georgia;2020-02-27T16:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Iceland;2020-02-28T15:33:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Lithuania;2020-02-28T16:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;Tibet;Mainland China;2020-02-12T06:43:02;undefined;undefined;1;0;1;0;undefined
0;undefined;undefined;Mexico;2020-02-28T15:03:26;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Nepal;2020-02-12T14:43:03;undefined;undefined;1;0;1;0;undefined
0;undefined;undefined;Netherlands;2020-02-28T01:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;New Zealand;2020-02-28T16:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;Nigeria;2020-02-28T16:23:03;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;North Ireland;2020-02-28T05:43:02;undefined;undefined;1;0;0;0;undefined
0;undefined;undefined;North Macedonia;2020-02-27T16:23:03;undefined;undefined;1;0;0;0;undefined
